Time,X,Y,Z,Tap,Double_Tap
2025-03-02T19:15:50.607921,3,243,113,0,0
2025-03-02T19:15:50.629765,22,241,109,0,0
2025-03-02T19:15:50.652346,5,244,110,0,0
2025-03-02T19:15:50.673632,13,246,112,0,0
2025-03-02T19:15:50.695670,21,245,113,0,0
2025-03-02T19:15:50.718203,17,244,112,0,0
2025-03-02T19:15:50.740012,15,243,112,0,0
2025-03-02T19:15:50.761160,16,245,112,0,0
2025-03-02T19:15:50.784139,16,245,113,0,0
2025-03-02T19:15:50.805625,15,244,113,0,0
2025-03-02T19:15:50.828252,17,244,112,0,0
2025-03-02T19:15:50.849746,16,244,113,0,0
2025-03-02T19:15:50.875224,16,244,113,0,0
2025-03-02T19:15:50.893438,18,243,113,0,0
2025-03-02T19:15:50.915841,16,244,113,0,0
2025-03-02T19:15:50.937501,17,244,113,0,0
2025-03-02T19:15:51.090068,16,245,114,0,0
2025-03-02T19:15:51.097414,16,244,113,0,0
2025-03-02T19:15:51.104107,16,245,112,0,0
2025-03-02T19:15:51.110266,17,243,114,0,0
2025-03-02T19:15:51.116301,17,244,112,0,0
2025-03-02T19:15:51.124374,17,243,111,0,0
2025-03-02T19:15:51.134758,17,244,111,0,0
2025-03-02T19:15:51.142629,17,245,112,0,0
2025-03-02T19:15:51.153751,16,245,114,0,0
2025-03-02T19:15:51.160645,15,244,113,0,0
2025-03-02T19:15:51.175765,18,244,113,0,0
2025-03-02T19:15:51.197497,16,245,113,0,0
2025-03-02T19:15:51.219783,16,245,113,0,0
2025-03-02T19:15:51.241784,17,243,114,0,0
2025-03-02T19:15:51.264041,15,244,114,0,0
2025-03-02T19:15:51.286407,12,242,115,0,0
2025-03-02T19:15:51.307825,219,306,133,0,0
2025-03-02T19:15:51.329476,-13,239,117,0,0
2025-03-02T19:15:51.351782,17,247,114,0,0
2025-03-02T19:15:51.373606,5,246,114,0,0
2025-03-02T19:15:51.395275,37,247,112,0,0
2025-03-02T19:15:51.418171,33,214,109,0,0
2025-03-02T19:15:51.439339,9,248,118,0,0
2025-03-02T19:15:51.461682,7,244,111,0,0
2025-03-02T19:15:51.483993,19,241,115,0,0
2025-03-02T19:15:51.505922,0,244,118,0,0
2025-03-02T19:15:51.629196,21,242,113,0,0
2025-03-02T19:15:51.637807,26,243,112,0,0
2025-03-02T19:15:51.644510,10,246,116,0,0
2025-03-02T19:15:51.651500,14,245,114,0,0
2025-03-02T19:15:51.658304,24,241,116,0,0
2025-03-02T19:15:51.665022,17,243,114,0,0
2025-03-02T19:15:51.672131,14,244,114,0,0
2025-03-02T19:15:51.679237,19,244,114,0,0
2025-03-02T19:15:51.699605,16,243,113,0,0
2025-03-02T19:15:51.721776,16,245,113,0,0
2025-03-02T19:15:51.744034,18,243,112,0,0
2025-03-02T19:15:51.766121,16,243,113,0,0
2025-03-02T19:15:51.788073,15,245,113,0,0
2025-03-02T19:15:51.810553,17,244,113,0,0
2025-03-02T19:15:51.831710,17,243,115,0,0
2025-03-02T19:15:51.854367,18,244,113,0,0
2025-03-02T19:15:51.875832,16,244,114,0,0
2025-03-02T19:15:51.902343,16,243,114,0,0
2025-03-02T19:15:51.920399,17,244,113,0,0
2025-03-02T19:15:51.941425,16,244,113,0,0
2025-03-02T19:15:51.964068,16,244,111,0,0
2025-03-02T19:15:51.986039,16,245,113,0,0
2025-03-02T19:15:52.012511,16,245,113,0,0
2025-03-02T19:15:52.029507,17,244,114,0,0
2025-03-02T19:15:52.051863,14,243,112,0,0
2025-03-02T19:15:52.188425,226,321,134,0,0
2025-03-02T19:15:52.197472,33,222,144,0,0
2025-03-02T19:15:52.206364,-8,237,118,0,0
2025-03-02T19:15:52.213190,12,240,114,0,0
2025-03-02T19:15:52.220951,14,238,104,0,0
2025-03-02T19:15:52.229117,25,243,112,0,0
2025-03-02T19:15:52.236211,-1,250,115,0,0
2025-03-02T19:15:52.245936,10,248,111,0,0
2025-03-02T19:15:52.252907,28,243,113,0,0
2025-03-02T19:15:52.267977,13,243,114,0,0
2025-03-02T19:15:52.289569,11,244,113,0,0
2025-03-02T19:15:52.311512,18,244,113,0,0
2025-03-02T19:15:52.333816,20,244,114,0,0
2025-03-02T19:15:52.355816,12,243,113,0,0
2025-03-02T19:15:52.377408,16,245,114,0,0
2025-03-02T19:15:52.500412,18,244,113,1,0
2025-03-02T19:15:52.522041,16,245,113,0,0
2025-03-02T19:15:52.542480,15,245,112,0,0
2025-03-02T19:15:52.565088,16,243,115,0,0
2025-03-02T19:15:52.588433,16,244,113,0,0
2025-03-02T19:15:52.741600,17,244,114,0,0
2025-03-02T19:15:52.749399,16,244,114,0,0
2025-03-02T19:15:52.756885,17,244,113,0,0
2025-03-02T19:15:52.764141,16,245,113,0,0
2025-03-02T19:15:52.771631,17,244,114,0,0
2025-03-02T19:15:52.778312,16,244,114,0,0
2025-03-02T19:15:52.785342,16,244,114,0,0
2025-03-02T19:15:52.791934,17,243,113,0,0
2025-03-02T19:15:52.799136,17,244,113,0,0
2025-03-02T19:15:52.805783,17,243,113,0,0
2025-03-02T19:15:52.825824,17,243,114,0,0
2025-03-02T19:15:52.848496,17,244,114,0,0
2025-03-02T19:15:52.870119,18,244,114,0,0
2025-03-02T19:15:52.892100,15,244,114,0,0
2025-03-02T19:15:52.913782,14,244,115,0,0
2025-03-02T19:15:52.936229,177,294,127,0,0
2025-03-02T19:15:52.957953,-40,252,106,0,0
2025-03-02T19:15:52.979874,19,239,109,0,0
2025-03-02T19:15:53.002232,-8,249,113,0,0
2025-03-02T19:15:53.023791,-7,239,106,0,0
2025-03-02T19:15:53.045767,58,243,102,0,0
